,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility
3481,1.3735466446435929,-0.1859171842970881,-0.6670713414369678,-0.014049293166593676,-0.030302521788411058,0.16026222881006172,0.14238447714780902,-0.5935377251100441,-0.484332456602695,-0.5895389046726183,-0.5306265792818264,0.11659602220196097,0.5121578525071997,-2.7234685016017575,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3482,1.0139305306892126,-0.1859171842970881,-0.33823107588864687,-0.3741273845873073,-0.3915540264129932,-0.4567977549111216,-0.5093142142859554,-0.3822901178375129,-0.39488644016107266,-0.2563679366936096,-0.3971369665553391,-0.48922754891236003,0.14723804309855146,0.3300749424674885,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3483,1.4288722006365744,-0.1859171842970881,-0.6628666841196953,-0.05628067425914663,-0.052196552371719065,0.6156870602879699,0.6670224174215312,-0.5927123851673872,-0.4230567952606761,-0.6682664434269787,-0.49450444634683366,0.6046205655996081,0.8427332729110394,-1.7640799117845383,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3484,-1.1714289310335597,-0.1859171842970881,-0.6584926383984782,0.09486321596683184,0.177690768753015,-0.25856596442408575,-0.23879777633231752,-0.5778618862751838,-0.5368657944238496,-0.4870922240618104,-0.5553290695252241,-0.32094322360282657,0.6233499170828859,0.18748784725715886,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3485,0.8756166407067587,-0.1859171842970881,-0.6062527082077265,-0.4274722870200057,-0.39812223558798554,-0.27381456369231927,-0.262365496305551,-0.5802414069131006,-0.4762767000256622,-0.5717549730916982,-0.5208096934592272,-0.2872863585409197,-2.4463413470382247,0.4300813137645203,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3486,-1.005452263054615,-0.1859171842970881,-0.21727409511697443,1.0772985024356927,1.3468320019016626,-0.07964906634347906,0.06245916593423402,0.10453821030104365,-0.49247649917617925,0.9103895230002207,-0.26707324663633025,-0.2368010609480598,-1.7017307839289206,1.748236658705357,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3487,-0.06491781117392821,4.514950117975526,-0.14043732943083354,-1.0209343265837743,-1.0111550919206098,-1.2060122656236623,-1.2173704969600612,-0.44030113915336816,-0.5403985157440341,-0.18898847736717983,-0.5045216767780574,-1.196021715212401,1.205883233551736,-3.7519458447807774,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3488,0.2117099687909797,-0.1859171842970881,-0.2511162589825066,-0.7453189973481664,-0.7090174698709591,-0.03898613496152298,0.07885410156778778,-0.4157219737528687,-0.09455256551614016,-0.3520264683891799,-0.23441707543054086,-0.01803143804566602,0.28954606396479515,0.6177830912836936,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3489,1.0692560866821943,-0.1859171842970881,-0.5643126858052251,0.9528270634260628,0.9308454208188106,0.9979186152783572,0.9908223961842192,-0.38962517199118973,-0.35250165744235307,-0.3520264683891799,-0.35740863066510575,0.9411892162186752,-1.4708649139448626,1.3293867201171894,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3490,1.235232754661139,-0.1859171842970881,-0.02801533856114886,-0.33634141203081264,-0.34995536830470786,-0.04406900138426749,-0.03181171395870035,-0.14545419552693092,-0.018448381915263164,-0.24558510666853503,-0.08604185828325507,-0.06851673563852621,-0.1429929453491697,0.44673084094939736,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3491,1.2075699766646482,-0.1859171842970881,-0.6185497599199054,4.124626053903583,4.063881197290186,4.5142456065330085,4.54135064432572,-0.16920082839538403,-0.06880326558420659,-0.23010131875245485,-0.12460819544346641,4.290047289878395,-0.4553238864959927,-0.7024067693452986,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3492,1.3735466446435929,-0.1859171842970881,-0.5305770727099162,-0.21853808582527057,-0.24486402150482947,0.13179817684269265,0.1208661241287697,-0.49988949144642136,-0.3626840161669588,-0.5495462676496181,-0.42352235151118234,0.11659602220196097,0.11861912237642888,0.6761199701415643,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3493,-0.9501267070616335,-0.1859171842970881,-0.6475780146281704,-0.33634141203081264,-0.2185911848048598,-0.8929076939826006,-0.8413116608654203,-0.6017516455817651,-0.5891425340659627,-0.46865217674855364,-0.595397991250119,-0.9435952272481007,-1.7900504477920498,1.956661305635435,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3494,1.2905583106541205,-0.1859171842970881,-0.4365036708868864,1.3106824505787478,1.2745817009767462,1.0690787451967803,1.0727970743519883,-0.15764473477629218,-0.22119848795043848,-0.16985327457911856,-0.2094942061176563,0.9411892162186752,-0.030488305591412208,0.4063999699211755,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3495,1.4288722006365744,-0.1859171842970881,-0.3911622200503342,-0.4785944851846749,-0.4506679089879245,-0.5320241779677404,-0.540054718598869,-0.44047607300469716,-0.42644129862379293,-0.3390494689956496,-0.437967197793007,-0.5565412790361736,-0.006523620983482822,0.09261343965763005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3496,-0.17556892315989137,-0.1859171842970881,-0.3835916512224186,0.3215790513057997,0.40976749293608006,-0.27178141712322157,-0.2510939780574828,-0.27609827128710834,-0.4649894601533111,0.062258394281465235,-0.3973172767031011,-0.3546000886647332,1.5643482827046553,-0.002919912080643694,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3497,-1.6416961569739033,-0.1859171842970881,-0.6017529872190664,-0.21631538155724161,-0.24267461844649849,0.38492492469536926,0.4262218003037095,-0.5559844490302746,-0.3790898339612957,-0.6476659273156931,-0.45467593815228813,0.36902251016626136,0.15539107625028664,0.35577335332257753,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
